"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.347066471E0,-2.704244852E-1,-3.515140414E-1,-2.311754227E-1,5.001335817E-1
1.352066471E0,-2.427741885E-1,-3.863106966E-1,-1.928167343E-1,4.953317615E-1
1.357066471E0,-1.850246787E-1,-4.060161710E-1,-1.612720490E-1,4.744385488E-1
1.362066471E0,-1.337428391E-1,-4.278211594E-1,-1.147441864E-1,4.626924678E-1
1.367066471E0,-7.668653131E-2,-4.564517736E-1,-5.472087860E-2,4.660723338E-1
1.372066471E0,-4.024213552E-2,-4.572349191E-1,5.155563354E-3,4.590313503E-1
1.377066471E0,1.349836588E-2,-4.672048092E-1,4.686832428E-2,4.697437380E-1
1.382066471E0,4.015135765E-2,-4.824752808E-1,8.475017548E-2,4.915049545E-1
1.387066471E0,6.651014090E-2,-4.895938039E-1,9.704780579E-2,5.035314968E-1
1.392066471E0,8.179819584E-2,-5.069648623E-1,1.188964844E-1,5.271059576E-1
1.397066471E0,1.053193212E-1,-5.162202120E-1,1.275825500E-1,5.420818884E-1
1.402066471E0,1.010448337E-1,-5.007677674E-1,1.390924454E-1,5.294573861E-1
1.407066471E0,1.167409718E-1,-5.111827850E-1,1.228199005E-1,5.385359990E-1
1.412066471E0,1.258704364E-1,-4.943116307E-1,1.228952408E-1,5.246814226E-1
1.417066471E0,1.343916953E-1,-4.780570269E-1,1.164617538E-1,5.100617500E-1
1.422066471E0,1.404476762E-1,-4.561884403E-1,1.315050125E-1,4.951030308E-1
1.427066471E0,1.356462240E-1,-4.395396709E-1,1.183691025E-1,4.749802784E-1
1.432066471E0,1.389443576E-1,-3.916520476E-1,1.177186966E-1,4.319196134E-1
1.437066471E0,1.530130208E-1,-3.519157767E-1,1.124916077E-1,3.998900602E-1
1.442066471E0,1.470584571E-1,-3.034590483E-1,1.103801727E-1,3.548201887E-1
1.447066471E0,1.327534914E-1,-2.614133358E-1,1.030035019E-1,3.107573700E-1
1.452066471E0,1.446330547E-1,-2.284958363E-1,5.178833008E-2,2.753381536E-1
1.457066471E0,1.407330930E-1,-1.867613792E-1,2.168464661E-2,2.348528053E-1
1.462066471E0,1.347041428E-1,-1.366931200E-1,9.413719177E-3,1.921427419E-1
1.467066471E0,1.328928471E-1,-9.077858925E-2,-8.539199829E-3,1.611650676E-1
1.472066471E0,1.421926022E-1,-7.526218891E-2,-7.714271545E-3,1.610672008E-1
